year,month,month_name,h1_avg_cf,h2_avg_cf,h1_max_cf,h2_max_cf,h1_min_cf,h2_min_cf,h1_longest_lull_hours,h2_longest_lull_hours,h1_max_deficit_mwh,h2_max_deficit_mwh,h1_total_deficit_mwh,h2_total_deficit_mwh
2024,8,August,38.383736559139784,38.6766353046595,99.83333333333333,98.93939393939394,0.0,0.0,88.5,88.5,29661.528225806454,31322.545362903227,130163.74596774197,136342.11357526883
2024,10,October,50.406066756878666,47.6948051948052,96.91666666666666,95.9090909090909,0.0,0.0,66.0,65.0,29759.104871447904,24829.642857142862,140845.02841677945,146110.50000000006
2024,11,November,48.244791666666664,49.87536826599327,97.5,100.0,0.0,0.0,168.0,168.0,78491.5,89841.11666666665,156505.9375,177831.65347222215
2024,12,December,66.25325257963213,68.058954280354,98.58333333333333,100.0,0.0,1.1363636363636365,110.0,94.5,61437.79340511441,65738.73956931359,147520.62382234188,163177.3149394347
2025,1,January,53.27693432298696,54.889993047887785,98.91666666666666,100.0,0.0,0.0,93.0,135.0,37484.55870445345,63094.96761133603,147327.27496626187,166928.38326585694
2025,2,February,58.996463142218914,55.25417992283219,98.91666666666666,99.54545454545455,0.0,0.0,47.0,47.5,24059.005212211465,23625.870811615787,123795.38793745349,129841.39054355916
2025,3,March,43.230428443248094,41.90204535258371,98.33333333333333,99.54545454545455,0.0,0.0,92.0,89.0,36185.393001345896,36962.52288021535,130485.56022880218,136187.72543741597
2025,8,August,34.46606182795699,33.55277082442966,97.66666666666667,99.77272727272727,0.0,0.0,128.5,101.0,28829.16733870968,28271.554063129617,110327.51411290327,119212.76930826053
2025,9,September,51.60842605470561,49.98693471572471,98.83333333333333,98.4090909090909,0.0,0.0,75.0,76.0,35366.583449235055,20619.392906815032,128943.2778164117,141319.72253129343
